"Timestamp"," 1. What is your age group?","How often do you use social networking or micro-blogging sites (like Facebook, Instagram or Twitter)","How educated would you say you are about social media (how social media sites operate, privacy, the effect of social media on mental health &c)?","The image above is a preview of the Fakebook main page. Looking at the page, how confident are you that you would be able to navigate to the 'About' page, to post on the timeline, and to see more posts from the social media 'bots'? (tip: it is a scrolling page)","Which feature or features do you think it would be difficult to access?","The image above is a preview of the Fakebook 'about' page. Looking at the page, how confident are you that you would be able to navigate back to the 'main' page?","What, if anything, would you change to make navigation more straight-forward?","In the image above you can see four different presentations of the 'fact box'. The box is designed to be clear and distinct from the rest of the timeline. Which design do you think does the best job of being distinct from the other posts and also visually appealing?","Do you think that this information could be displayed in a more appropriate way, or that it should be displayed elsewhere on the page? If so, why?","In the image above you can see two options for the way that 'comments' will displayed. If a user clicks on a post from one of the 'bots', a list of automatically generated comments will appear. Option one is a 'traditional' comment interface where comments appear below the original comment, and option two is less traditional comment interface, where comments appear below and to the right of the original comment. Which style do you prefer?","Why did you prefer the interface you chose? What do you see as the disadvantages of the other interface?","Do you think either interface would make it difficult for you to navigate away from the 'comment' page?","Do you have any more thoughts or comments on any of the images given above? Do you have any ideas about how to improve the interfaces you have seen?","Do you think it should be a priority for 'bots' to respond to real trending and viral topics? These topics will reflect what is actually trending on twitter that day.","Do you think it should be a priority for the 'bots' to respond to news articles, and possibly to be seen mimicking the spread of 'fake' news in their behaviour?","Do you think that it should be a priority for the 'bots' to be funny? A funny bot may be more likely to discuss inane topics and share nonsense opinions than to properly respond to trending topics or current events.","Do you think it should be a priority for the website to look as professional as possible and to emulate the 'seamless' experience of real social media sites?","Do you think it should be a priority for users to be able to create an 'account' on Fakebook and therefore keep a record of all of their comments and likes if they wanted to?","Do you think it should be a priority for users' comments to appear publicly? This means that if you post something to Fakebook, your comment could appear on somebody else's timeline. Your engagement could therefore come from real people as well as bots.","Do you have any more comments about the extended features? Are there any features you would like to see on the site that hasn't been mentioned?","What are your thoughts on the concept for the site as whole? What do you like, or not like?"
"2021/04/02 3:51:05 pm CET","45-54","A few times a week","Above average","Extremely confident","None. Just toggle over and click. ","Extremely confident","Make Home in bold. To indicate that it was a return page rather than a further information page. ","Bottom-right","No. Seems good. And it’s not the first thing to catch your eye but one is aware of its presence. Slight yellow indicates it’s something difference. The other choices just washed it out. ","'Traditional' interface","The non traditional was too busy. The content was lost. I got bored quickly and lost the flow. ","'Traditional' interface would be difficult to navigate away from","Why lilac?  Supposed to be a calmer colour. Most recent comments box outline could be in bold to indicate newest or potentially unread. Messages (on left side) should have a number or an indicator that there’s a message maybe. Same with notifications.  ","A top priority, but not the most important","Not very important","Not very important","A top priority, but not the most important","A top priority, but not the most important","A top priority, but not the most important","A funny bot - everyone has a different sense of humour. This would have to be carefully considered. ","An interesting concept. It could be used to help with loneliness, but there would be a concern that this also may influence the user into a group bot thinking. The psychology around this on the human mind and social adaption would need to be analyzed. 
"
"2021/04/02 4:27:24 pm CET","25-34","Every day","Above average","Very confident","Copying/sharing others' links, adding media to posts","Extremely confident","","Top-left","Explicit declaration in the text to differentiate user/bot generated content from official Fakebook facts","'Traditional' interface","Better navigability, ease of reading, no ambiguity about where to scroll to see more comments, easier to implement and understand sorts (ie sort by time, popularity, group replies and replies to replies)","Neither interface would be difficult to navigate away from","Seems unnecessary to distinguish between ""notifications"" and ""messages"". There's no indication anywhere which user is signed in. No search functionality? ","A top priority, but not the most important","The most important priority","Not very important","Not very important","Not very important","Not important at all","",""
"2021/04/02 4:43:27 pm CET","18-24","Every day","Above average","Extremely confident","none, all looks easily accessible","Extremely confident","Is home main?","Bottom-left","","'Traditional' interface","Non-traditional is too convoluted, it makes sense to have a vertical feed with the posts in order","Neither interface would be difficult to navigate away from","","A top priority, but not the most important","The most important priority","Not very important","Not very important","Not very important","Not very important","",""
"2021/04/02 5:17:27 pm CET","25-34","Less than once a month","Average","Somewhat confident","I would be confident to know where to make a post and how to make a post. I really like the placement of this text box. When I first saw the page, I was curious what the two purple columns on the right and left sides were. Is ""About"" a separate page or a header to the column? I really like the idea of ""Trends For You"". If I click one of the hash tags, will I see posts related to it?","Somewhat confident","At first, thought of clicking the ""Home"" button on the left side. Then, thought of clicking the ""Message"" button. This may be personal preference but maybe a label like ""Feed"" or ""Home Feed"" or a variation? I'm used to seeing the options in the About column as a header on top of the page or as a drop down/hamburger menu on the upper left but realize as a single page application it's best to ""flow"" from one page to another. Perhaps instead of having ""Trends For You"" as a separate column, have it part of the text-box for posting? So in the text box, near the bottom by the 'Post' button, have a set of popular hashtags to include. This way, more space can be allocated to the news feed and there will only be one side panel. ","Bottom-right","I like the idea of the 'fact box' and that it's embedded into the feed. Also like that the editor for the 'fact box' shows up like a user. The difference in color makes me want to read what the post if about. ","'Traditional' interface","I think for the traditional view, it's clear which post the comments are referring to. But I also really like the non-traditional interface. I think it really gets to the satire for social media - that information is everywhere and can be overwhelming. ","'Non-traditional' interface would be difficult to navigate away from","I really like this idea! Personally, I stopped using social media (no FB, Instagram or Twitter) and I like that this site is a satire to it. I like that the main page is an information feed. Some questions - do I need an account to make a post or can anyone make a post? What is the difference between Messages and Notifications? Can people DM you or is everything public? Is the Explore page for exploring trendy or most liked posts or hash tags? ","A top priority, but not the most important","A top priority, but not the most important","Not very important","A top priority, but not the most important","Not very important","Not very important","It if responds to news stories, will there be a way to distinguish real and fake news?","Really like! Would try it out and maybe share it with friends :) "
"2021/04/02 5:58:31 pm CET","25-34","A few times a week","Above average","Very confident","since the about page is highlighted it looks like that is the page you are already on. Scrolling down is also slightly non intuitive as there is no visible scroller.","Very confident","Reinforce which page the user is on- highlight 'home' if that's where you're at. Icons are more memorable than text so I personally prefer having both, like desktop twitter does.","Top-left","I actually really like it being part of the 'timeline'.","'Traditional' interface","traditional interface has a lot more unused space, but is much clearer that the comments are related to the original post. The second option looks like a nightmare to code and be very likely to struggle to fit comments in in a way which is legible consistently.","'Non-traditional' interface would be difficult to navigate away from","both 'comment' interfaces look a little navigate away from in that I would be looking for a 'back', 'exit', 'close' or 'return' type navigational tool after having clicked into a comment and would be less likely to think 'start again from the home button' as I expect I would prefer my position in the timeline was saved.","Not very important","A top priority, but not the most important","A top priority, but not the most important","A top priority, but not the most important","Not very important","A top priority, but not the most important","I would caution about your policy and expected moderation for real users of the site and potentially the automated behaviour of the bots. 'Tay' is a good case study of needing caution in automation and public access: https://en.wikipedia.org/wiki/Tay_(bot)
","I would think about how you expect to build engagement with the site and whether you want to maintain engagement or keep it a brief experience for users. Are you planning to advertise, either paid or on existing social media? Think about how the site may still work as an experience with very few users or how to get a lot of users if you think that is an important component of the project."
"2021/04/02 7:44:41 pm CET","25-34","About once a week","Average","Somewhat confident","I'm not entirely sure how I'd see post from certain social media bots. Would I click their names? Or just scroll down to see a longer news feed?","Very confident","","Bottom-left","","'Non-traditional' interface","I think the non-traditional interface is just that--non-traditional. It's an interesting take on social media. One reason I like it is that the page widens out without the trending column. I also think it could be cool to word-cloud or make the 'popular' comments bolder somehow.","'Traditional' interface would be difficult to navigate away from","","Not very important","A top priority, but not the most important","Not very important","A top priority, but not the most important","A top priority, but not the most important","A top priority, but not the most important","It'd be interesting to have private messages from bots. I remember Yahoo having spam bots that you could have a basic conversation with.","I think the overall idea is really good, but there is one part that bothers me. In your description, you say the aim is to get people to stay on the site longer. Social media also has quite an addictive quality to it, and while I think the aims of this site are beneficial, how does this play into overall ethics? If you accidentally create an addictive social media stream that feeds people information that keeps them on the site, could this be used by others to do what you're raising awareness for?"
"2021/04/02 10:09:59 pm CET","18-24","Every day","Average","Extremely confident","Privacy settings (no direct link)","Extremely confident","Have bolder buttons, more clear instructions on navigation, perhaps a help button to explain if you’re confused","Bottom-right","Perhaps replace the trends panel on the right, that doesn’t seem as important so could perhaps be smaller and less distinguished","'Non-traditional' interface","It seems more fun and visually appealing, comments aren’t that important so it seems like a more informal interesting way to view them for fun ","Neither interface would be difficult to navigate away from","","Not very important","A top priority, but not the most important","Not very important","Not very important","The most important priority","Not very important","Social networking and finding friends you know is a major part of why people begin social accounts ","I enjoy it as it helps me keep in touch with friends I am not nearby to and can’t see, it helps me feel updated with their lives despite time passing by "
"2021/04/04 2:54:35 am CET","45-54","Every day","Above average","Very confident","Don't know","Very confident","Nothing","Bottom-right","No","","","","","","","","","","","",""
"2021/04/05 10:16:57 am CET","55-64","About once a week","Average","Somewhat confident","","Somewhat confident","","Bottom-left","","'Non-traditional' interface","","Neither interface would be difficult to navigate away from","","A top priority, but not the most important","Not very important","Not very important","A top priority, but not the most important","A top priority, but not the most important","A top priority, but not the most important","",""
"2021/04/05 10:27:12 am CET","18-24","Every day","Average","Extremely confident","","Extremely confident","","Top-left","","'Traditional' interface","Unable to see chronology of comments in the other post - I want to know who posted first, second etc","Neither interface would be difficult to navigate away from","","A top priority, but not the most important","A top priority, but not the most important","A top priority, but not the most important","The most important priority","Not important at all","Not important at all","",""
